ID,Priority,Area,Scenario,Test Level,Command or Test Path,Expected Result,Blocking,Evidence Artifact
T01,P0,Release provenance,Preview exposes and records its source revision,Preview integration,Version endpoint or deployment metadata,"Reported SHA equals the candidate SHA and deployment ID is recorded",Yes,release-provenance.json
T02,P0,Release control,A required check is deliberately failed,Repository/deployment policy,Required-check policy test,"Failing revision cannot be promoted to production",Yes,release-policy-evidence.md
T03,P0,Supabase least privilege,Required read surface is exercised with the production web identity,Database integration,Restricted-key route/RPC probe,"All required relations/views/RPCs are readable without service authority",Yes,supabase-read-contract.json
T04,P0,Supabase least privilege,Forbidden operations are attempted with the production web identity,Database integration,Restricted-key negative probe,"Insert/update/delete/maintenance/ingestion calls are denied",Yes,supabase-denial-contract.json
T05,P0,Supabase fail closed,Production web key is missing or invalid,Unit and preview integration,src/__tests__/supabaseWeb.test.ts,"Route returns safe typed 503; service client is never initialized",Yes,supabase-fail-closed.xml
T06,P0,Auditor retrieval,Representative auditor facet corpus is queried,Preview integration and accuracy,Accuracy auditor class,"Correct results; zero application 5xx; p95 latency under 5 seconds",Yes,accuracy-auditor.json
T07,P0,Topic retrieval,Representative comment-letter topic corpus is queried,Preview integration and accuracy,Accuracy topic class,"Correct results; zero application 5xx; p95 latency under 2 seconds",Yes,accuracy-topic.json
T08,P0,Boolean compiler,AND/OR/NOT/nesting/double-negation/phrase/proximity/wildcard truth tables,Unit and semantic integration,src/__tests__/booleanSearch*.test.ts,"Precision and recall are 100%; normalized plan preserves meaning",Yes,boolean-truth-table.json
T09,P0,Boolean validation,Unsupported/unanchored/malformed branches including unsafe auditor compositions,Unit and browser,Compiler plus tests/e2e/boolean-search.spec.ts,"Clear validation error; zero retrieval requests; no branch silently removed",Yes,boolean-rejection.json
T10,P0,Branch fairness,Alpha has 300 candidates and beta has one exclusive match under a 120-document budget,Deterministic integration,src/__tests__/filingResearchBranchCoverage.test.ts,"Beta is paged/validated early and exclusive accession is returned",Yes,branch-starvation.json
T11,P0,Branch recall,Disjoint required OR branches have known exact union,Semantic integration,Accuracy branch-exclusive class,"Branch-exclusive recall is 100% and union matches expected stable IDs",Yes,branch-recall.json
T12,P0,Coverage ledger,Each required branch ends exhausted/partial/error/cancelled independently,Unit and integration,Coverage ledger tests,"Every branch has truthful counts/state; aggregate uses deduplicated union",Yes,coverage-ledger.json
T13,P0,Failure handling,SEC returns 404/429/5xx HTML/wrong content type/timeout/abort,Unit and integration,src/__tests__/booleanPrescreen.test.ts,"Response is not cached or validated; run remains partial; error is classified",Yes,upstream-failure-injection.json
T14,P0,Budget accounting,Retries prescreen pages and document fetches approach configured limits,Deterministic integration,Budget instrumentation test,"Measured network work never exceeds advertised page/document/time caps",Yes,budget-ledger.json
T15,P0,Accuracy,Full semantic corpus runs against immutable preview,Preview accuracy,npm run accuracy,"Overall semantic accuracy is at least 97%; no critical test is skipped",Yes,semantic-accuracy.json
T16,P0,Ticker coverage,Full supported ticker directory resolves,Preview accuracy,scripts/ticker-coverage-test.ts,"Ticker resolution is 100%",Yes,ticker-coverage-report.json
T17,P0,CSP and headers,Public/protected/API/error route archetypes are scanned,Preview and production integration,Automated header scan,"CSP and baseline headers are present; no broad wildcard/default https allowance; no actionable violation",Yes,security-headers.json
T18,P0,Control inventory,Every declared UI action is mapped to evidence,Static meta-test,src/__tests__/uiPageContracts.test.ts,"Each action has coveredBy or an owned unexpired manual exception; critical actions are automated",Yes,control-coverage.json
T19,P0,Real interactions,Behavior archetypes execute in a production build on desktop/mobile,Browser E2E,next build + next start + Playwright,"Action causes correct state/navigation/data effect; keyboard/responsive/error paths pass",Yes,playwright-report.zip
T20,P0,Exact-SHA promotion,Accepted preview is promoted then production is smoke-tested,Release verification,03_EXACT_SHA_RELEASE_RUNBOOK.md,"Production SHA and deployment artifact equal the accepted preview; smoke passes; rollback target recorded",Yes,production-release-record.md
